month,Rm,SMB,HML,MOM,stock_count,Rm_cum,SMB_cum,HML_cum,MOM_cum
2023-12-01,-0.019449487158069528,0.03951507745797688,-0.010744323711198687,0.0766293855442428,5234,0.6281438803009116,0.8498754083021942,0.9233520498822103,8.897478219989647
2024-01-01,-0.18704458776808114,-0.10522233744082654,0.06978522706182352,0.1714706269492258,5252,0.5106529671509847,0.7604495313071605,0.9877883823412406,10.423134388638355
2024-02-01,0.07187617867579521,-0.0625135632826234,-0.07118740155489618,0.054253666449179005,5226,0.5473567510592539,0.7129111214085491,0.9174702941162532,10.988627645114507
2024-03-01,0.017586763001774537,0.01995237583419534,-0.01908066052221194,0.1116949275808137,5271,0.5569829845175542,0.72713539203927,0.8999643548950071,12.216001614148098
2024-04-01,-0.023037742052071087,-0.0750735347175363,0.021386022419734453,0.11414569721752324,5280,0.5441513541928461,0.6725467679406605,0.9192110127657536,13.61040563560542
2024-05-01,-0.03685523203608641,-0.03390745579869213,0.020853695960574646,0.09372088879502366,5284,0.5240965297713182,0.6497424181341592,0.9383799597495825,14.885984948635159
2024-06-01,-0.10391718949576163,-0.05304326151450234,-0.02288476547879889,0.10428513770894798,5288,0.469633891373001,0.615277961132004,0.9169053544407085,16.438371938936903
2024-07-01,-0.016316071262940043,-0.003473639019348995,0.014169319485672826,0.03773167622764966,5294,0.46197131133386726,0.6131407075984703,0.929897279345903,17.058619266646552
2024-08-01,-0.05211570859641437,0.0006017664194343589,0.004862112686093385,0.06769348259763004,5300,0.437895349092488,0.6135096750866913,0.9344185447045746,18.21337661311289
2024-09-01,0.1354475757807634,-0.05297929106518455,0.03794485764564473,0.06505747258185256,5303,0.4972072125727366,0.5810063674389667,0.9698749233648403,19.398292862743432
