quarter,industry,industry_ret,market_ret,excess_ret,SMB_contrib,HML_contrib,MOM_contrib,alpha
2024Q3,国防军工,0.03357915166930487,0.022338598640469706,0.011240553028835164,-0.018617054555033034,0.0189920966058036,0.05682754380237737,-0.04596203282431277
2024Q3,基础化工,0.03884979913655427,0.022338598640469706,0.016511200496084566,-0.018617054555033034,0.0189920966058036,0.05682754380237737,-0.04069138535706337
2024Q3,家用电器,0.043459757277520134,0.022338598640469706,0.021121158637050427,-0.018617054555033034,0.0189920966058036,0.05682754380237737,-0.03608142721609751
2024Q3,建筑材料,0.04556406371325577,0.022338598640469706,0.023225465072786063,-0.018617054555033034,0.0189920966058036,0.05682754380237737,-0.03397712078036187
2024Q3,建筑装饰,0.04334413647355506,0.022338598640469706,0.021005537833085355,-0.018617054555033034,0.0189920966058036,0.05682754380237737,-0.03619704802006258
2024Q3,房地产,0.09524851967733088,0.022338598640469706,0.07290992103686117,-0.018617054555033034,0.0189920966058036,0.05682754380237737,0.015707335183713235
2024Q3,有色金属,0.0462019958521618,0.022338598640469706,0.023863397211692096,-0.018617054555033034,0.0189920966058036,0.05682754380237737,-0.03333918864145584
2024Q3,机械设备,0.03623306772393533,0.022338598640469706,0.013894469083465623,-0.018617054555033034,0.0189920966058036,0.05682754380237737,-0.04330811676968231
2024Q3,汽车,0.042163913647262095,0.022338598640469706,0.01982531500679239,-0.018617054555033034,0.0189920966058036,0.05682754380237737,-0.037377270846355545
2024Q3,煤炭,0.021361185295415436,0.022338598640469706,-0.0009774133450542698,-0.018617054555033034,0.0189920966058036,0.05682754380237737,-0.0581799991982022
2024Q3,环保,0.0398174586994019,0.022338598640469706,0.01747886005893219,-0.018617054555033034,0.0189920966058036,0.05682754380237737,-0.03972372579421574
2024Q3,电力设备,0.03252686965961996,0.022338598640469706,0.010188271019150257,-0.018617054555033034,0.0189920966058036,0.05682754380237737,-0.04701431483399768
2024Q3,电子,0.02781556662954156,0.022338598640469706,0.005476967989071855,-0.018617054555033034,0.0189920966058036,0.05682754380237737,-0.051725617864076076
2024Q3,石油石化,0.0268595843025053,0.022338598640469706,0.004520985662035595,-0.018617054555033034,0.0189920966058036,0.05682754380237737,-0.05268160019111234
2024Q3,社会服务,0.06310544591617258,0.022338598640469706,0.04076684727570287,-0.018617054555033034,0.0189920966058036,0.05682754380237737,-0.016435738577445062
2024Q3,纺织服饰,0.04467340559493774,0.022338598640469706,0.02233480695446803,-0.018617054555033034,0.0189920966058036,0.05682754380237737,-0.0348677788986799
2024Q3,综合,0.09459520771012618,0.022338598640469706,0.07225660906965647,-0.018617054555033034,0.0189920966058036,0.05682754380237737,0.01505402321650854
2024Q3,美容护理,0.034224635728767994,0.022338598640469706,0.011886037088298287,-0.018617054555033034,0.0189920966058036,0.05682754380237737,-0.04531654876484965
2024Q3,计算机,0.059209042313434206,0.022338598640469706,0.0368704436729645,-0.018617054555033034,0.0189920966058036,0.05682754380237737,-0.020332142180183435
2024Q3,轻工制造,0.054120491290109964,0.022338598640469706,0.03178189264964026,-0.018617054555033034,0.0189920966058036,0.05682754380237737,-0.025420693203507677
2024Q3,通信,0.037955273540494,0.022338598640469706,0.015616674900024295,-0.018617054555033034,0.0189920966058036,0.05682754380237737,-0.04158591095312364
2024Q3,钢铁,0.0559995370692154,0.022338598640469706,0.03366093842874569,-0.018617054555033034,0.0189920966058036,0.05682754380237737,-0.02354164742440224
2024Q3,银行,0.0345100273809225,0.022338598640469706,0.012171428740452794,-0.018617054555033034,0.0189920966058036,0.05682754380237737,-0.04503115711269514
2024Q3,非银金融,0.1282404786115793,0.022338598640469706,0.1059018799711096,-0.018617054555033034,0.0189920966058036,0.05682754380237737,0.048699294117961665
