month,valuation_spread,within_factor_corr,turnover_hhi,valuation_spread_z,within_factor_corr_z,turnover_hhi_z,crowding_score,crowding_level
2023-07-01,4.7958,,0.0006720903129844122,-0.35908831720182127,,0.709184798424213,0.17504824061119587,关注
2023-08-01,4.562800000000001,,0.0008055070436286671,-0.582185745697827,,1.7118774245399588,0.5648458394210659,关注
2023-09-01,4.4701,,0.0007885076778522455,-0.6709459672496724,,1.5841187946413458,0.4565864136958367,关注
2023-10-01,4.3869,,0.0006065477084774577,-0.7506099417169166,,0.21659975366862935,-0.26700509402414363,关注
2023-11-01,4.5649,,0.0007186871088364698,-0.5801749963422849,,1.0593827336896189,0.239603868673667,关注
2023-12-01,4.5692,,0.000647779100463328,-0.5760577476618858,,0.5264740288744598,-0.02479185939371298,关注
2024-01-01,3.4291500000000004,,0.0004899035199625025,-1.6676552727986784,,-0.6600389342861858,-1.163847103542432,正常
2024-02-01,3.7827,,0.0004690905207012671,-1.3291312562975488,,-0.8164589033996459,-1.0727950798485972,正常
2024-03-01,3.9734,,0.0005934011712208328,-1.146536064820345,,0.11779703303142273,-0.5143695158944612,关注
2024-04-01,3.8759999999999994,,0.0004424192268132621,-1.239796534929835,,-1.0169068500801635,-1.1283516925049992,正常
2024-05-01,3.8408,0.07957265012928885,0.0007485285487600296,-1.2735005241275144,-1.2617106448941326,1.2836558935814888,-0.417185091813386,关注
2024-06-01,3.6101499999999995,,0.000746852267299112,-1.4943478283446996,,1.2710578104772163,-0.11164500893374163,关注
2024-07-01,3.5484,0.1335176118245531,0.0005854402339386588,-1.5534734343946064,-0.23364349663655049,0.05796665740117195,-0.5763834245433282,关注
2024-08-01,3.3329000000000004,,0.0005200247344395941,-1.7598146182610845,,-0.4336631304421934,-1.0967388743516389,正常
2024-09-01,4.268000000000001,,0.0003186625820683389,-0.8644566552283974,,-1.9469991594880165,-1.405727907358207,正常
2024-10-01,4.9037,,0.00041662555607343426,-0.2557741003146147,,-1.2107590253387885,-0.7332665628267017,关注
2024-11-01,5.26795,,0.0004670326088173128,0.09299516290285544,,-0.831925127622596,-0.36946498235987024,关注
2024-12-01,4.872199999999999,,0.00046351720090103386,-0.28593534064776616,,-0.8583451543945051,-0.5721402475211357,关注
2025-01-01,4.88885,,0.0005146420386437692,-0.26999297075738604,,-0.4741167478935835,-0.37205485932548477,关注
2025-02-01,5.5728,,0.00044542416002417857,0.3848889443492405,,-0.9943232928455747,-0.30471717424816713,关注
2025-03-01,5.4029,,0.00044383808578294683,0.2222097464888473,,-1.0062434241400204,-0.3920168388255866,关注
2025-04-01,5.4179,,0.00045221265981332405,0.2365722418855865,,-0.943304364049349,-0.3533660610818813,关注
2025-05-01,5.7612000000000005,,0.0005230233769801774,0.5652818865322784,,-0.4111268507021583,0.07707751791506004,关注
2025-06-01,6.2798,,0.0004866020862207903,1.0618412273821882,,-0.6848508394530965,0.18849519396454584,关注
2025-07-01,6.4326,,0.0004157476210030704,1.2081471804902992,,-1.2173571410099744,-0.004604980259837577,关注
2025-08-01,7.352,,0.0003630468482547708,2.0884723983410667,,-1.613429477441471,0.23752146044979783,关注
2025-09-01,7.3356,0.16700570468533724,0.00040190517656492656,2.072769403373966,0.4045626869632393,-1.32138994782903,0.3853140475027251,关注
2025-10-01,7.117850000000002,,0.00038760426083063156,1.864273845197978,,-1.4288683928803871,0.21770272615879538,关注
2025-11-01,7.0115,,0.0005279195975423497,1.7624437528350991,,-0.37432933490470593,0.6940572089651966,关注
