trade_date,pct_chg,n_stocks,index
20220616,-0.4989613241069977,2554,961.6223211003702
20220617,0.9282885487561778,2554,970.5489509894281
20220620,0.43243404187402823,2557,974.7459350465577
20220621,0.0500587877130406,2558,975.2338810449243
20220622,-1.1451664946977376,2558,964.0658293942574
20220623,1.7529959724116178,2560,980.9658645549354
20220624,0.8285225586682758,2561,989.0933880356083
20220627,0.9319133352273399,2563,998.310881216564
20220628,1.0052845841859999,2563,1008.3467466076856
20220629,-1.2527563630008125,2564,995.7146185784461
20220630,1.145932246752974,2566,1007.1248334783697
20220701,-0.14482401032368447,2569,1005.6662749055607
20220704,0.677779508115881,2567,1012.4824748369028
20220705,-0.1092832439538132,2571,1011.3760011439372
20220706,-1.2755116947856415,2574,998.475781971091
20220707,0.6149489446359022,2574,1004.6158982547672
20220708,-0.08679773856896703,2578,1003.7439143737779
20220711,-1.108822709909002,2578,992.6141739018719
20220712,-0.6998612571795394,2577,985.66725186546
20220713,0.2628011893682981,2579,988.2575971265762
20220714,0.02347739443571049,2580,988.4896142606945
20220715,-1.2022844662940748,2580,976.6051571775079
20220718,1.6097630800655156,2580,992.3261864357671
20220719,0.11993420048813679,2580,993.5163249137033
20220720,0.6824733936530181,2580,1000.2968094928386
20220721,-0.9144676121887648,2580,991.149419144269
20220722,0.007737970969051838,2580,991.2261139985823
20220725,-0.519631652266957,2579,986.0753893647098
20220726,0.8409456158250089,2583,994.3677471203018
20220727,-0.05516302868197787,2586,993.8192237547535
20220728,0.24001038315944853,2586,996.2044930815994
20220729,-0.8810271562895967,2625,987.4276609653734
20220801,0.47637459532359916,2625,992.1315154894105
20220802,-2.2853379430681087,2626,969.4579575207944
20220803,-0.7784463078576955,2626,961.9112478442411
20220804,0.9578117208324238,2627,971.1245465200986
20220805,1.2460331022611746,2627,983.2250798339227
20220808,0.28650530317778117,2627,986.0420718298209
20220809,0.23876320121705222,2627,988.3963774458687
20220810,-0.6042211994717384,2625,982.42427699853
20220811,1.682210521478917,2625,998.9507215517624
20220812,0.18103585076956555,2627,1000.7591804892924
20220815,0.04022037408268595,2626,1001.1616895753519
20220816,0.18902809352217925,2627,1003.0541664302306
20220817,0.7672102585109538,2627,1010.749700893505
20220818,-0.4215704098027482,2627,1006.4886792373682
20220819,-0.44641214344722296,2627,1001.9955915508309
20220822,0.8406737639403132,2625,1010.4191056048372
20220823,-0.1038142870321709,2626,1009.3701462143167
20220824,-1.8884771561883724,2625,990.3084215816742
20220825,0.8922662735426388,2629,999.1446096315
20220826,-0.1918566600353583,2632,997.2276841545377
20220829,-0.0018411147411445505,2636,997.209324048642
20220830,-0.25756164360012757,2636,994.6408953234885
20220831,-0.7358890741286658,2641,987.3214416479874
20220901,-0.497692802822892,2641,982.4076138921781
20220902,0.12724717264349303,2644,983.6576998046903
20220905,0.2590263410875098,2645,986.2056323533201
20220906,1.0793283802185862,2644,996.8500296306236
20220907,0.1652224597247503,2644,998.4970497693461
20220908,-0.33764684903188513,2647,995.1256559431235
20220909,0.914602554556577,2652,1004.2271006134272
20220913,0.3181314842736803,2652,1007.4218631940872
20220914,-0.8593959006460353,2653,998.7641209995853
20220915,-1.0968973085668214,2652,987.8087042374098
20220916,-2.2225665865273934,2651,965.8539980382199
20220919,-0.24744385344372785,2653,963.4640516868337
20220920,0.38332873567623715,2655,967.1572862548599
20220921,-0.10208298047918657,2657,966.1699832711292
20220922,-0.3588034710798801,2657,962.7033318346205
20220923,-0.4847894850709562,2658,958.0362473094585
20220926,-1.0852786184006937,2660,947.6388847608805
20220927,1.563048050527686,2663,962.4509358751778
20220928,-1.552958528349279,2665,947.5044719853269
20220929,-0.13983303156425245,2668,946.1795477579428
20220930,-0.49146119370290864,2669,941.5294424579589
20221010,-1.418412699520678,2670,928.174669276409
20221011,0.273904217346791,2670,930.7169788399017
20221012,1.7263808341563696,2672,946.784698382833
20221013,-0.22668573993038266,2673,944.6384724837561
20221014,1.9278241904689166,2674,962.849441468774
