ts_code,trade_date,adj_factor
000630.SZ,20250915,30.0589
000630.SZ,20250912,30.0589
000630.SZ,20250911,30.0589
000630.SZ,20250910,30.0589
000630.SZ,20250909,30.0589
000630.SZ,20250908,30.0589
000630.SZ,20250905,30.0589
000630.SZ,20250904,30.0589
000630.SZ,20250903,30.0589
000630.SZ,20250902,30.0589
000630.SZ,20250901,30.0589
000630.SZ,20250829,30.0589
000630.SZ,20250828,30.0589
000630.SZ,20250827,30.0589
000630.SZ,20250826,30.0589
000630.SZ,20250825,30.0589
000630.SZ,20250822,30.0589
000630.SZ,20250821,30.0589
000630.SZ,20250820,30.0589
000630.SZ,20250819,30.0589
000630.SZ,20250818,30.0589
000630.SZ,20250815,30.0589
000630.SZ,20250814,30.0589
000630.SZ,20250813,30.0589
000630.SZ,20250812,30.0589
000630.SZ,20250811,30.0589
000630.SZ,20250808,30.0589
000630.SZ,20250807,30.0589
000630.SZ,20250806,30.0589
000630.SZ,20250805,30.0589
000630.SZ,20250804,30.0589
000630.SZ,20250801,30.0589
000630.SZ,20250731,30.0589
000630.SZ,20250730,30.0589
000630.SZ,20250729,30.0589
000630.SZ,20250728,30.0589
000630.SZ,20250725,30.0589
000630.SZ,20250724,30.0589
000630.SZ,20250723,30.0589
000630.SZ,20250722,30.0589
000630.SZ,20250721,30.0589
000630.SZ,20250718,30.0589
000630.SZ,20250717,30.0589
000630.SZ,20250716,30.0589
000630.SZ,20250715,30.0589
000630.SZ,20250714,30.0589
000630.SZ,20250711,30.0589
000630.SZ,20250710,30.0589
000630.SZ,20250709,30.0589
000630.SZ,20250708,30.0589
000630.SZ,20250707,30.0589
000630.SZ,20250704,30.0589
000630.SZ,20250703,30.0589
000630.SZ,20250702,30.0589
000630.SZ,20250701,30.0589
000630.SZ,20250630,30.0589
000630.SZ,20250627,30.0589
000630.SZ,20250626,30.0589
000630.SZ,20250625,30.0589
000630.SZ,20250624,30.0589
000630.SZ,20250623,30.0589
000630.SZ,20250620,29.134
000630.SZ,20250619,29.134
000630.SZ,20250618,29.134
000630.SZ,20250617,29.134
000630.SZ,20250616,29.134
000630.SZ,20250613,29.134
000630.SZ,20250612,29.134
000630.SZ,20250611,29.134
000630.SZ,20250610,29.134
000630.SZ,20250609,29.134
000630.SZ,20250606,29.134
000630.SZ,20250605,29.134
000630.SZ,20250604,29.134
000630.SZ,20250603,29.134
000630.SZ,20250530,29.134
000630.SZ,20250529,29.134
000630.SZ,20250528,29.134
000630.SZ,20250527,29.134
000630.SZ,20250526,29.134
000630.SZ,20250523,29.134
000630.SZ,20250522,29.134
000630.SZ,20250521,29.134
000630.SZ,20250520,29.134
000630.SZ,20250519,29.134
000630.SZ,20250516,29.134
000630.SZ,20250515,29.134
000630.SZ,20250514,29.134
000630.SZ,20250513,29.134
000630.SZ,20250512,29.134
000630.SZ,20250509,29.134
000630.SZ,20250508,29.134
000630.SZ,20250507,29.134
000630.SZ,20250506,29.134
000630.SZ,20250430,29.134
000630.SZ,20250429,29.134
000630.SZ,20250428,29.134
000630.SZ,20250425,29.134
000630.SZ,20250424,29.134
000630.SZ,20250423,29.134
000630.SZ,20250422,29.134
000630.SZ,20250421,29.134
000630.SZ,20250418,29.134
000630.SZ,20250417,29.134
000630.SZ,20250416,29.134
000630.SZ,20250415,29.134
000630.SZ,20250414,29.134
000630.SZ,20250411,29.134
000630.SZ,20250410,29.134
000630.SZ,20250409,29.134
000630.SZ,20250408,29.134
000630.SZ,20250407,29.134
000630.SZ,20250403,29.134
000630.SZ,20250402,29.134
000630.SZ,20250401,29.134
000630.SZ,20250331,29.134
000630.SZ,20250328,29.134
000630.SZ,20250327,29.134
000630.SZ,20250326,29.134
000630.SZ,20250325,29.134
000630.SZ,20250324,29.134
000630.SZ,20250321,29.134
000630.SZ,20250320,29.134
000630.SZ,20250319,29.134
000630.SZ,20250318,29.134
000630.SZ,20250317,29.134
000630.SZ,20250314,29.134
000630.SZ,20250313,29.134
000630.SZ,20250312,29.134
000630.SZ,20250311,29.134
000630.SZ,20250310,29.134
000630.SZ,20250307,29.134
000630.SZ,20250306,29.134
000630.SZ,20250305,29.134
000630.SZ,20250304,29.134
000630.SZ,20250303,29.134
000630.SZ,20250228,29.134
000630.SZ,20250227,29.134
000630.SZ,20250226,29.134
000630.SZ,20250225,29.134
000630.SZ,20250224,29.134
000630.SZ,20250221,29.134
000630.SZ,20250220,29.134
000630.SZ,20250219,29.134
000630.SZ,20250218,29.134
000630.SZ,20250217,29.134
000630.SZ,20250214,29.134
000630.SZ,20250213,29.134
000630.SZ,20250212,29.134
000630.SZ,20250211,29.134
000630.SZ,20250210,29.134
000630.SZ,20250207,29.134
000630.SZ,20250206,29.134
000630.SZ,20250205,29.134
000630.SZ,20250127,29.134
000630.SZ,20250124,29.134
000630.SZ,20250123,29.134
000630.SZ,20250122,29.134
000630.SZ,20250121,29.134
000630.SZ,20250120,29.134
000630.SZ,20250117,29.134
000630.SZ,20250116,29.134
000630.SZ,20250115,29.134
000630.SZ,20250114,29.134
000630.SZ,20250113,29.134
000630.SZ,20250110,29.134
000630.SZ,20250109,29.134
000630.SZ,20250108,29.134
000630.SZ,20250107,29.134
000630.SZ,20250106,29.134
000630.SZ,20250103,29.134
000630.SZ,20250102,29.134
000630.SZ,20241231,29.134
000630.SZ,20241230,29.134
000630.SZ,20241227,29.134
000630.SZ,20241226,29.134
000630.SZ,20241225,29.134
000630.SZ,20241224,29.134
000630.SZ,20241223,29.134
