ts_code,trade_date,adj_factor
600606.SH,20240718,164.595
600606.SH,20240717,164.595
600606.SH,20240716,164.595
600606.SH,20240715,164.595
600606.SH,20240712,164.595
600606.SH,20240711,164.595
600606.SH,20240710,164.595
600606.SH,20240709,164.595
600606.SH,20240708,164.595
600606.SH,20240705,164.595
600606.SH,20240704,164.595
600606.SH,20240703,164.595
600606.SH,20240702,164.595
600606.SH,20240701,164.595
600606.SH,20240628,164.595
600606.SH,20240627,164.595
600606.SH,20240626,164.595
600606.SH,20240625,164.5948
600606.SH,20240624,164.595
600606.SH,20240621,164.595
600606.SH,20240620,164.595
600606.SH,20240619,164.595
600606.SH,20240618,164.595
600606.SH,20240617,164.595
600606.SH,20240614,164.595
600606.SH,20240613,164.595
600606.SH,20240612,164.595
600606.SH,20240611,164.595
600606.SH,20240607,164.595
600606.SH,20240606,164.595
600606.SH,20240605,164.595
600606.SH,20240604,164.595
600606.SH,20240603,164.595
600606.SH,20240531,164.595
600606.SH,20240530,164.595
600606.SH,20240529,164.595
600606.SH,20240528,164.595
600606.SH,20240527,164.595
600606.SH,20240524,164.595
600606.SH,20240523,164.595
600606.SH,20240522,164.595
600606.SH,20240521,164.595
600606.SH,20240520,164.595
600606.SH,20240517,164.595
600606.SH,20240516,164.595
600606.SH,20240515,164.595
600606.SH,20240514,164.595
600606.SH,20240513,164.595
600606.SH,20240510,164.595
600606.SH,20240509,164.595
600606.SH,20240508,164.595
600606.SH,20240507,164.595
600606.SH,20240506,164.595
600606.SH,20240430,164.595
600606.SH,20240429,164.595
600606.SH,20240426,164.595
600606.SH,20240425,164.595
600606.SH,20240424,164.595
600606.SH,20240423,164.595
600606.SH,20240422,164.595
600606.SH,20240419,164.595
600606.SH,20240418,164.595
600606.SH,20240417,164.595
600606.SH,20240416,164.595
600606.SH,20240415,164.595
600606.SH,20240412,164.595
600606.SH,20240411,164.595
600606.SH,20240410,164.595
600606.SH,20240409,164.595
600606.SH,20240408,164.595
600606.SH,20240403,164.595
600606.SH,20240402,164.595
600606.SH,20240401,164.595
600606.SH,20240329,164.595
600606.SH,20240328,164.595
600606.SH,20240327,164.595
600606.SH,20240326,164.595
600606.SH,20240325,164.595
600606.SH,20240322,164.595
600606.SH,20240321,164.595
600606.SH,20240320,164.595
600606.SH,20240319,164.595
600606.SH,20240318,164.595
600606.SH,20240315,164.595
600606.SH,20240314,164.595
600606.SH,20240313,164.595
600606.SH,20240312,164.595
600606.SH,20240311,164.595
600606.SH,20240308,164.595
600606.SH,20240307,164.595
600606.SH,20240306,164.595
600606.SH,20240305,164.595
600606.SH,20240304,164.595
600606.SH,20240301,164.595
600606.SH,20240229,164.595
600606.SH,20240228,164.595
600606.SH,20240227,164.595
600606.SH,20240226,164.595
600606.SH,20240223,164.595
600606.SH,20240222,164.595
600606.SH,20240221,164.595
600606.SH,20240220,164.595
600606.SH,20240219,164.595
600606.SH,20240208,164.595
600606.SH,20240207,164.595
