ts_code,trade_date,adj_factor
920523.BJ,20240815,4.5565
920523.BJ,20240814,4.5565
920523.BJ,20240813,4.5565
920523.BJ,20240812,4.5565
920523.BJ,20240809,4.5565
920523.BJ,20240808,4.5565
920523.BJ,20240807,4.5565
920523.BJ,20240806,4.5565
920523.BJ,20240805,4.5565
920523.BJ,20240802,4.5565
920523.BJ,20240801,4.5565
920523.BJ,20240731,4.5565
920523.BJ,20240730,4.5565
920523.BJ,20240729,4.5565
920523.BJ,20240726,4.5565
920523.BJ,20240725,4.5565
920523.BJ,20240724,4.5565
920523.BJ,20240723,4.5565
920523.BJ,20240722,4.5565
920523.BJ,20240719,4.5565
920523.BJ,20240718,4.5565
920523.BJ,20240717,4.5565
920523.BJ,20240716,4.5565
920523.BJ,20240715,4.5565
920523.BJ,20240712,4.5565
920523.BJ,20240711,4.5565
920523.BJ,20240710,4.5565
920523.BJ,20240709,4.5565
920523.BJ,20240708,4.5565
920523.BJ,20240705,4.5565
920523.BJ,20240704,4.5565
920523.BJ,20240703,4.5565
920523.BJ,20240702,4.5565
920523.BJ,20240701,4.5565
920523.BJ,20240628,4.5565
920523.BJ,20240627,4.5565
920523.BJ,20240626,4.5565
920523.BJ,20240625,4.5565
920523.BJ,20240624,4.5565
920523.BJ,20240621,4.5565
920523.BJ,20240620,4.5565
920523.BJ,20240619,4.5565
920523.BJ,20240618,4.5565
920523.BJ,20240617,4.5565
920523.BJ,20240614,4.5565
920523.BJ,20240613,4.5565
920523.BJ,20240612,4.5565
920523.BJ,20240611,4.5565
920523.BJ,20240607,4.5565
920523.BJ,20240606,4.5565
920523.BJ,20240605,4.5565
920523.BJ,20240604,4.5565
920523.BJ,20240603,3.4555
920523.BJ,20240531,3.4555
920523.BJ,20240530,3.4555
920523.BJ,20240529,3.4555
920523.BJ,20240528,3.4555
920523.BJ,20240527,3.4555
920523.BJ,20240524,3.4555
920523.BJ,20240523,3.4555
920523.BJ,20240522,3.4555
920523.BJ,20240521,3.4555
920523.BJ,20240520,3.4555
920523.BJ,20240517,3.4555
