ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000905.SH,20240117,5061.5395,5180.9251,5180.9251,5061.5395,5190.3975,-128.858,-2.4826,78741849.0,87930639.3
000905.SH,20240116,5190.3975,5188.3692,5210.0834,5124.0823,5193.2956,-2.8981,-0.0558,83070371.0,92337607.3
000905.SH,20240115,5193.2956,5189.5279,5238.9581,5171.2399,5206.178,-12.8824,-0.2474,73925097.0,88027788.8
000905.SH,20240112,5206.178,5213.1356,5262.6165,5206.1607,5223.8633,-17.6853,-0.3385,76619831.0,93271394.9
000905.SH,20240111,5223.8633,5152.359,5243.1387,5146.8978,5158.0784,65.7849,1.2754,85041295.0,106151947.2
000905.SH,20240110,5158.0784,5167.7319,5211.8158,5118.4332,5180.653,-22.5746,-0.4357,71173946.0,84227807.644
000905.SH,20240109,5180.653,5176.1129,5220.4578,5152.9987,5167.6997,12.9533,0.2507,78740418.0,90959823.752
000905.SH,20240108,5167.6997,5268.2339,5268.9787,5167.6997,5281.8711,-114.1714,-2.1616,83785155.0,92792791.38
000905.SH,20240105,5281.8711,5347.0727,5373.6788,5260.5939,5355.3216,-73.4505,-1.3715,89538884.0,101084569.597
000905.SH,20240104,5355.3216,5395.1428,5395.1428,5331.892,5401.395,-46.0734,-0.853,78846568.0,91011406.056
000905.SH,20240103,5401.395,5398.2939,5428.5204,5373.8317,5409.4554,-8.0604,-0.149,86705229.0,99883598.918
000905.SH,20240102,5409.4554,5431.4784,5439.4778,5409.4554,5429.2288,-19.7734,-0.3642,92964747.0,106839922.689
000905.SH,20231229,5429.2288,5376.9768,5437.1538,5374.6877,5382.7966,46.4322,0.8626,90931766.0,112533613.054
000905.SH,20231228,5382.7966,5280.6904,5400.2364,5275.4028,5285.5301,97.2665,1.8402,107699239.0,126896204.801
000905.SH,20231227,5285.5301,5261.5699,5293.7973,5235.4559,5258.2841,27.246,0.5182,75397918.0,84253444.705
000905.SH,20231226,5258.2841,5312.7999,5313.9193,5238.0417,5315.3746,-57.0905,-1.0741,67532007.0,80910364.896
000905.SH,20231225,5315.3746,5301.5735,5339.6644,5288.4665,5311.6902,3.6844,0.0694,65918772.0,81018151.919
000905.SH,20231222,5311.6902,5337.3807,5366.2345,5293.2193,5338.762,-27.0718,-0.5071,90387004.0,108918439.608
