trade_date,yield
20240402,2.2927
20240403,2.2837
20240408,2.2822
20240409,2.2802
20240410,2.2972
20240411,2.2928
20240412,2.2837
20240415,2.2798
20240416,2.2723
20240417,2.2608
20240418,2.2537
20240419,2.254
20240422,2.2435
20240423,2.226
20240424,2.2727
20240425,2.2612
20240426,2.3084
20240429,2.353
20240430,2.3028
20240506,2.3081
20240507,2.2896
20240508,2.2955
20240509,2.3186
20240510,2.3122
20240513,2.29
20240514,2.2938
20240515,2.302
20240516,2.3147
20240517,2.3077
20240520,2.3105
20240521,2.3141
20240522,2.3123
20240523,2.3063
20240524,2.3134
20240527,2.3084
20240528,2.2994
20240529,2.2776
20240530,2.2826
20240531,2.2926
20240603,2.2853
20240604,2.2854
20240605,2.2808
20240606,2.2828
20240607,2.2833
20240611,2.2791
20240612,2.276
20240613,2.2678
20240614,2.2558
20240617,2.2609
20240618,2.2537
20240619,2.2429
20240620,2.2445
20240621,2.2571
20240624,2.2451
20240625,2.235
20240626,2.2225
20240627,2.2081
20240628,2.2058
20240701,2.2486
20240702,2.2369
20240703,2.2426
20240704,2.2502
20240705,2.2754
20240708,2.2904
20240709,2.2698
20240710,2.2707
20240711,2.2648
20240712,2.2604
20240715,2.2541
20240716,2.2613
20240717,2.2598
20240718,2.2673
20240719,2.2614
20240722,2.2461
20240723,2.2322
20240724,2.2381
20240725,2.2168
20240726,2.1944
20240729,2.1574
20240730,2.148
20240731,2.1494
20240801,2.1297
20240802,2.1277
20240805,2.1376
20240806,2.1491
20240807,2.1414
20240808,2.181
20240809,2.1986
20240812,2.2508
20240813,2.2255
20240814,2.1966
20240815,2.205
20240816,2.1978
20240819,2.1816
20240820,2.171
20240821,2.167
20240822,2.1582
20240823,2.1547
20240826,2.1628
20240827,2.1903
20240828,2.1673
20240829,2.1703
20240830,2.1704
20240902,2.1457
20240903,2.1432
20240904,2.1336
20240905,2.1338
20240906,2.1388
20240909,2.1267
20240910,2.1143
20240911,2.1044
20240912,2.0998
20240913,2.0724
20240919,2.045
20240920,2.0431
20240923,2.0381
20240924,2.0728
20240925,2.0437
20240926,2.0787
20240927,2.1714
20240930,2.1518
20241008,2.1928
20241009,2.176
20241010,2.1441
20241011,2.1392
20241014,2.1368
20241015,2.1254
20241016,2.1331
20241017,2.1084
20241018,2.1209
20241021,2.1211
20241022,2.1458
20241023,2.1559
20241024,2.1661
20241025,2.1539
20241028,2.1617
20241029,2.1598
20241030,2.1597
20241031,2.1476
20241101,2.1406
20241104,2.1275
20241105,2.1106
20241106,2.1234
20241107,2.1115
20241108,2.1067
20241111,2.092
20241112,2.0729
20241113,2.0876
20241114,2.0808
20241115,2.0948
20241118,2.1117
20241119,2.0947
20241120,2.1025
20241121,2.0843
20241122,2.0832
20241125,2.0682
20241126,2.0657
20241127,2.0553
20241128,2.0304
20241129,2.0206
20241202,1.981
20241203,1.9886
20241204,1.9612
20241205,1.9462
20241206,1.9539
20241209,1.9168
20241210,1.8468
20241211,1.8218
20241212,1.8172
20241216,1.7215
20241217,1.7237
20241218,1.7564
20241219,1.7417
20241220,1.7018
20241223,1.7019
20241224,1.7166
20241225,1.7365
20241226,1.7122
20241227,1.6929
20241230,1.7128
20241231,1.6752
20250103,1.6041
20250106,1.5966
20250107,1.6093
20250109,1.6368
20250110,1.6338
20250113,1.6592
20250114,1.6446
20250115,1.633
20250116,1.6394
20250117,1.6593
20250120,1.6747
20250121,1.6496
20250122,1.6602
20250123,1.6645
20250124,1.6565
20250127,1.6299
20250205,1.6207
20250206,1.5958
20250207,1.6032
20250210,1.6342
20250211,1.6274
20250212,1.6336
20250213,1.6346
20250214,1.6546
20250217,1.6934
20250218,1.7006
20250219,1.6626
20250220,1.685
20250221,1.72
20250224,1.7625
20250225,1.7275
20250226,1.7251
20250227,1.7576
20250228,1.7152
20250303,1.6955
20250304,1.7079
20250305,1.7083
20250306,1.7455
20250307,1.8002
20250310,1.8128
20250311,1.8853
20250312,1.8334
20250313,1.8565
20250314,1.8317
20250317,1.8957
20250318,1.8885
20250319,1.8708
20250320,1.8309
20250321,1.8458
20250324,1.8413
20250325,1.8183
20250326,1.7943
20250327,1.8062
20250328,1.8126
20250331,1.8129
20250401,1.8104
20250402,1.7887
20250403,1.718
20250407,1.6318
20250408,1.6633
20250409,1.6508
20250410,1.6444
20250411,1.6568
20250414,1.6584
20250415,1.6583
20250416,1.643
20250417,1.6522
20250418,1.6493
20250422,1.6509
20250423,1.6611
20250424,1.664
20250425,1.6606
20250428,1.6483
20250429,1.6241
20250430,1.6243
20250506,1.6298
20250507,1.6418
20250508,1.6331
20250509,1.6351
20250512,1.688
20250513,1.6704
20250514,1.6736
20250515,1.6798
20250516,1.6793
20250519,1.6893
20250520,1.7004
20250521,1.71
20250522,1.7186
20250523,1.7208
20250526,1.7201
