month,year,month_num,industry,monthly_ret,monthly_vol,avg_daily_ret,med_pe,med_pb,total_mv,avg_turnover,avg_stock_count
2024-12-01,2024,12,电力设备,-0.05267612944751432,0.24350053032357366,-0.0023436100710558408,39.314949999999996,2.2955,347191794.4063,3.842479808935504,154.0909090909091
2025-01-01,2025,1,电力设备,-0.04061664631250583,0.346664348866441,-0.0020766933313477124,37.3563,2.17345,332203488.3961,3.944504669529926,152.88888888888889
2025-02-01,2025,2,电力设备,0.06473920485748152,0.2294711581660415,0.0035896826814906762,43.3558,2.3851,348594340.7162,4.9285715877958935,152.05555555555554
2025-03-01,2025,3,电力设备,-0.018554049971145292,0.18133731853262192,-0.0008291273392392747,42.4322,2.4106,340961007.6589,5.094645069160639,153.33333333333334
2025-04-01,2025,4,电力设备,-0.03233465671455238,0.39651298246663497,-0.0012533378517438083,39.17255,2.2562,313617243.3286,3.1683078441204193,149.76190476190476
2025-05-01,2025,5,电力设备,0.005490123236860933,0.22435074555538018,0.00038246378504592805,37.8822,2.36855,327383795.55219996,3.5409571474345682,154.6315789473684
2025-06-01,2025,6,电力设备,0.05450280519426309,0.1810368649133769,0.002718602489001975,40.9469,2.5169,343628763.23829997,3.854780505764804,156.25
2025-07-01,2025,7,电力设备,0.0008274404917902878,0.1694467486587423,9.046839000928712e-05,42.80305,2.5885,357407499.4395,4.50393320027045,159.0
2025-08-01,2025,8,电力设备,0.07886173757685988,0.18013074108278818,0.0036824863563296225,45.2752,2.7269,266337224.3187,4.906688063261481,160.0
2025-09-01,2025,9,电力设备,0.036513274991793576,0.21352560588448266,0.0017168771727274048,47.6842,3.1153,503412592.1715,5.2992052117385136,158.63636363636363
2025-10-01,2025,10,电力设备,0.0063577723132308694,0.2812941579513045,0.0005223298348084838,46.1537,2.9387,506555513.88179994,4.912282396038961,159.1764705882353
2025-11-01,2025,11,电力设备,-0.04178451495423019,0.2866388624104627,-0.0019751647786345845,47.283,2.9275,484430101.5396,5.380227003793139,157.85
2025-12-01,2025,12,电力设备,0.007375951894090793,0.17889659211129824,0.0003802805338936104,47.6512,2.9892000000000003,492193050.9092,4.170029052632853,159.43478260869566
2022-01-01,2022,1,电子,-0.12578828531079,0.2777470332938326,-0.006904208740755806,43.4781,3.7677,438704031.6175,2.5065928538176045,167.8421052631579
2022-02-01,2022,2,电子,0.014692015944330672,0.23592348160161158,0.0010155802326922354,43.5204,3.7827,441243246.83809996,2.127922765454334,170.375
2022-03-01,2022,3,电子,-0.13453438623646985,0.2918653049450185,-0.0060996343476911645,38.2415,3.3308,380577411.40680003,1.9432885714776225,172.08695652173913
2022-04-01,2022,4,电子,-0.16446448249059398,0.4643097681568226,-0.009003041741131642,32.01685,2.673,324154464.1379,1.7977421187805804,170.68421052631578
2022-05-01,2022,5,电子,0.09054490414706073,0.252881143124203,0.004694343146967292,35.2301,3.0126,346374185.53410006,1.951195724656555,173.89473684210526
2022-06-01,2022,6,电子,0.05581845789959239,0.27029667691334347,0.002728150295247681,39.288650000000004,3.29935,383879735.00189996,3.1441142999693,176.1904761904762
2022-07-01,2022,7,电子,-0.011349014006425628,0.22362611459759535,-0.00044871625117585924,38.58225,3.6525499999999997,372226907.1818,3.0098382682875036,178.0
2022-08-01,2022,8,电子,-0.047981410004866665,0.3171012841464402,-0.001942993969289692,40.76625,3.2377000000000002,378593546.2708,4.224194074668689,176.34782608695653
2022-09-01,2022,9,电子,-0.14074094652551028,0.26479793824391235,-0.00706398867766791,35.0183,2.8466,340392586.9848,2.4804889613963255,182.9047619047619
2022-10-01,2022,10,电子,0.05441279759317941,0.33616568176471706,0.0035268233232517423,40.9746,2.92295,341609429.3611,2.9963644666216864,188.5625
2022-11-01,2022,11,电子,0.02495051683374494,0.23608697602845652,0.001225487091648991,43.5008,3.0725,365625493.36219996,3.2135654746683304,190.5
2022-12-01,2022,12,电子,-0.06885708307641192,0.22049794052046073,-0.00314537319382031,42.1479,2.83745,359963993.2164999,2.4100048894065966,193.72727272727272
2023-01-01,2023,1,电子,0.093889562574196,0.16716048596396452,0.0056760532633221665,43.32315,3.1692,390275016.70659995,2.812364137492769,196.6875
2023-02-01,2023,2,电子,0.015339686404298503,0.22630950793674193,0.0008581152759896809,49.9903,3.3551,396761897.6423,3.285430267772587,197.55
2023-03-01,2023,3,电子,0.04795264786423159,0.21238753788109846,0.0021246791856841187,55.4895,3.4088,453785001.4062,3.7821108641778984,198.6086956521739
2023-04-01,2023,4,电子,-0.08109371609379434,0.33477845199136885,-0.0042281529997286625,63.7285,3.1394,437969469.2235,4.754096455294096,196.3684210526316
2023-05-01,2023,5,电子,0.03267557811559052,0.16360458102637657,0.0016595018949267244,65.8816,3.3535,453486881.9082,3.4844018657015106,199.65
2023-06-01,2023,6,电子,-0.04219866854253396,0.24322971787045436,-0.0020408064251221593,66.59475,3.3573,455582894.11800003,3.912245654620153,200.05
2023-07-01,2023,7,电子,-0.0474250949444891,0.22358284312262772,-0.0022164874146096045,64.0068,3.1791,445147857.18119997,3.294162690941126,201.28571428571428
2023-08-01,2023,8,电子,-0.03585143906281496,0.2782583221069758,-0.0014400778134430292,68.91685,3.16285,432310148.65129995,2.0900123611947237,202.2173913043478
2023-09-01,2023,9,电子,-0.002289663009231502,0.22781019136134797,-1.721058895821758e-05,68.31174999999999,3.2597500000000004,410736322.3241999,2.911381100623987,200.95
2023-10-01,2023,10,电子,0.020660098282901496,0.2623033259587377,0.0013322773446197895,76.7925,3.2687,427592603.7817,3.580406787637022,198.76470588235293
2023-11-01,2023,11,电子,0.013492861104759779,0.23092844815542202,0.0007101537903870637,77.37935,3.34165,431159379.90779996,3.7357934179755294,200.5909090909091
2023-12-01,2023,12,电子,-0.012290721227038559,0.23520878173357174,-0.0004841739888587509,77.29575,3.3977,431031825.119,2.519829494662461,201.9047619047619
2024-01-01,2024,1,电子,-0.2696366870896988,0.34183527836454025,-0.013956874809558902,58.138,2.40415,338128859.21650004,2.280492853576459,201.72727272727272
2024-02-01,2024,2,电子,0.1146700137923311,0.5996388521346107,0.007938916440383933,63.7285,2.6286500000000004,381124912.448,3.607065867202551,184.53333333333333
2024-03-01,2024,3,电子,0.01699344497930655,0.32783582840260755,0.0010072525674641713,60.7564,2.7427,407538790.5018,3.7663274648741387,200.42857142857142
2024-04-01,2024,4,电子,-0.03703681595691366,0.4343427446091418,-0.0015297480038528402,52.8293,2.6691000000000003,410278897.55990005,2.6759163583404737,198.15
