month,pmi,cpi_yoy,m2_yoy,inc_month,inc_cumval,stk_endval,sf_yoy,bond_10y,pmi_ma3,pmi_trend,cpi_ma3,sf_ma3,sf_trend,cycle_phase,growth_votes,inflation_votes,pmi_votes,sf_votes,phase_change,pmi_vs_50,growth_score,pmi_streak
2023-11-01,49.4,-0.5,10.0,24554.0,336473.0,376.39,9.673941548413412,2.668309090909091,49.699999999999996,-0.30000000000000426,-0.23333333333333336,9.538668354011195,0.3654782306979687,衰退期,2,0,0,2,0,-0.6000000000000014,43.999999999999986,-2
2023-12-01,49.0,-0.3,9.7,19326.0,355799.0,378.08,9.839923302635011,2.6203238095238097,49.300000000000004,-1.2000000000000028,-0.3333333333333333,9.702051956968885,0.49015080887306794,衰退期,2,0,0,2,0,-1.0,40.0,-3
2024-01-01,49.2,-0.8,8.7,64734.0,64734.0,384.32,9.514718034935733,2.505863636363636,49.199999999999996,-0.29999999999999716,-0.5333333333333333,9.676194295328052,-0.07757298492250086,衰退期,2,0,0,2,0,-0.7999999999999972,42.00000000000003,-4
2024-02-01,49.1,0.7,8.7,14959.0,79693.0,385.71,8.966861598440534,2.4043,49.1,-0.29999999999999716,-0.1333333333333334,9.440500978670427,-0.7070799499728775,衰退期,2,0,0,2,0,-0.8999999999999986,41.000000000000014,-5
2024-03-01,50.8,0.1,8.3,48335.0,128028.0,390.32,8.71817726031976,2.3083619047619046,49.699999999999996,1.7999999999999972,-4.625929269271486e-17,9.066585631232009,-1.1217460423152517,复苏期,4,0,2,2,1,0.7999999999999972,57.99999999999997,1
2024-04-01,50.4,0.3,7.2,-658.0,127370.0,389.93,8.32893457424644,2.280445,50.1,1.1999999999999957,0.36666666666666664,8.671324477668911,-1.1857834606892936,复苏期,4,0,2,2,0,0.3999999999999986,53.999999999999986,2
2024-05-01,49.5,0.3,7.0,20623.0,147993.0,391.93,8.441702174755129,2.30247,50.23333333333333,0.3999999999999986,0.2333333333333333,8.496271336440444,-0.5251594236854054,衰退期,2,0,0,2,1,-0.5,45.0,-1
2024-06-01,49.5,0.2,6.2,32985.0,180978.0,395.1,8.113284991106863,2.256415789473684,49.800000000000004,-1.2999999999999972,0.26666666666666666,8.294640580036143,-0.6048922692128968,衰退期,2,0,0,2,0,-0.5,45.0,-2
2024-07-01,49.4,0.5,6.3,7707.0,188685.0,395.72,8.188205703037443,2.2389608695652172,49.46666666666666,-1.0,0.3333333333333333,8.247730956299812,-0.1407288712089958,衰退期,2,0,0,2,0,-0.6000000000000014,43.999999999999986,-3
2024-08-01,49.1,0.6,6.3,30323.0,219008.0,398.56,8.125118689129419,2.1742909090909093,49.333333333333336,-0.3999999999999986,0.4333333333333333,8.142203127757908,-0.3165834856257099,衰退期,2,0,0,2,0,-0.8999999999999986,41.000000000000014,-4
2024-09-01,49.8,0.4,6.8,37635.0,256643.0,402.19,7.97046979865772,2.1031833333333334,49.43333333333333,0.29999999999999716,0.5,8.094598063608194,-0.14281519244914254,衰退期,0,0,0,0,0,-0.20000000000000284,47.99999999999997,-5
2024-10-01,50.1,0.3,7.5,14120.0,270763.0,403.45,7.825320041692274,2.1471277777777775,49.666666666666664,0.7000000000000028,0.4333333333333333,7.973636176493138,-0.3628856613451692,衰退期,2,0,2,0,0,0.10000000000000142,51.000000000000014,1
2024-11-01,50.3,0.2,7.1,23288.0,294051.0,405.6,7.760567496479731,2.088809523809524,50.06666666666666,1.1999999999999957,0.3,7.852119112276576,-0.3645511926496878,衰退期,2,0,2,0,0,0.29999999999999716,52.99999999999997,2
2024-12-01,50.1,0.1,7.3,28537.0,322558.0,408.34,8.003597122302164,1.8012714285714286,50.166666666666664,0.30000000000000426,0.19999999999999996,7.86316155349139,0.03312732364444404,复苏期,4,0,2,2,1,0.10000000000000142,51.000000000000014,3
2025-01-01,49.1,0.5,7.0,28537.0,322558.0,408.34,8.003597122302164,1.64071875,49.833333333333336,-1.0,0.2666666666666666,7.922587247028019,0.1782770806098899,衰退期,2,0,0,2,1,-0.8999999999999986,41.000000000000014,-1
2025-02-01,50.2,-0.7,7.0,22331.0,92877.0,417.29,8.578788509575364,1.6752,49.800000000000004,-0.09999999999999432,-0.03333333333333336,8.195327584726565,0.8182210130956333,复苏期,4,0,2,2,1,0.20000000000000284,52.00000000000003,1
2025-03-01,50.5,-0.1,7.0,58961.0,151838.0,422.97,9.660107334525957,1.8140190476190476,49.93333333333334,0.3999999999999986,-0.10000000000000005,8.747497655467827,1.6565102122237931,复苏期,4,0,2,2,0,0.5,55.0,2
2025-04-01,49.0,-0.1,8.0,11599.0,163437.0,424.0,8.628817380610787,1.667935,49.9,-0.10000000000000142,-0.30000000000000004,8.955904408237371,0.625220258308623,衰退期,2,0,0,2,1,-1.0,40.0,-1
2025-05-01,49.5,-0.1,7.9,22899.0,186336.0,426.16,9.291411278947503,1.6820157894736842,49.666666666666664,-0.7000000000000028,-0.1,9.193445331361415,0.712622769372139,衰退期,2,0,0,2,0,-0.5,45.0,-2
2025-06-01,49.7,0.1,8.3,42251.0,228588.0,430.24,9.774704666649647,1.650275,49.4,-0.7999999999999972,-0.0333333333333334,9.231644442069312,0.11459733212369017,衰退期,2,0,0,2,0,-0.29999999999999716,47.00000000000003,-3
2025-07-01,49.3,0.0,8.8,11307.0,239895.0,431.25,9.149582384206534,1.6768434782608694,49.5,0.29999999999999716,-6.47630097698008e-17,9.405232776601228,0.5207650035957467,衰退期,2,0,0,2,0,-0.7000000000000028,42.99999999999997,-4
2025-08-01,49.4,-0.4,8.8,25660.0,265555.0,433.65,9.585060143535816,1.7500809523809524,49.46666666666667,-0.10000000000000142,-0.10000000000000007,9.503115731463998,0.2936488645883131,衰退期,2,0,0,2,0,-0.6000000000000014,43.999999999999986,-5
2025-09-01,49.8,-0.3,8.4,35299.0,300854.0,437.08,9.664793255720582,1.857242857142857,49.5,0.09999999999999432,-0.2333333333333334,9.466478594487645,-0.10991141092906531,衰退期,2,0,0,2,0,-0.20000000000000284,47.99999999999997,-6
2025-10-01,49.0,0.2,8.2,8178.0,309032.0,437.71,8.831646734130638,1.8333294117647059,49.4,-0.29999999999999716,-0.16666666666666674,9.360500044462347,-0.31793565007589564,衰退期,2,0,0,2,0,-1.0,40.0,-7
2025-11-01,49.2,0.7,8.0,24926.0,333958.0,440.07,9.07671334737885,1.8170263157894737,49.333333333333336,-0.19999999999999574,0.19999999999999993,9.191051112410024,-0.5083467961569657,衰退期,2,0,0,2,0,-0.7999999999999972,42.00000000000003,-8
2025-12-01,50.1,0.8,8.5,22075.0,356033.0,442.12,9.003944773175544,1.8442173913043478,49.43333333333334,0.30000000000000426,0.5666666666666665,8.97076828489501,-0.6608484825450383,复苏期,4,0,2,2,1,0.10000000000000142,51.000000000000014,1
2026-01-01,49.3,0.2,9.0,22075.0,356033.0,442.12,9.003944773175544,1.8474631578947367,49.53333333333334,0.29999999999999716,0.5666666666666665,9.028200964576646,0.1722980390449056,衰退期,2,0,0,2,1,-0.7000000000000028,42.99999999999997,-1
2026-02-01,49.0,1.3,9.0,22075.0,356033.0,442.12,9.003944773175544,1.8086071428571429,49.46666666666666,-0.20000000000000284,0.7666666666666666,9.003944773175544,-0.07276857420330707,衰退期,2,0,0,2,0,-1.0,40.0,-2
2026-03-01,50.4,1.0,8.5,22075.0,356033.0,442.12,9.003944773175544,1.809440909090909,49.56666666666666,0.29999999999999716,0.8333333333333334,9.003944773175544,0.0,复苏期,4,0,2,2,1,0.3999999999999986,53.999999999999986,1
2026-04-01,50.3,1.2,8.6,22075.0,356033.0,442.12,9.003944773175544,1.7820380952380954,49.9,1.0,1.1666666666666665,9.003944773175544,0.0,复苏期,4,0,2,2,0,0.29999999999999716,52.99999999999997,2
